[-0.0, inf, 3.0707584216665778, inf, 2.2467992051654924, inf, 3.0707584216665778, 1.863679987341]


[inf, -0.0, inf, 2.0310376508266565, 3.0707584216665778, inf, 2.5508980362466143, inf]


[3.0707584216665778, inf, -0.0, 2.0310376508266565, 1.6113258098750902, inf, 1.7269388197455344, inf]


[inf, 2.0310376508266565, 2.0310376508266565, -0.0, 2.5508980362466143, inf, 2.5508980362466143, 2.2467992051654924]


[2.2467992051654924, 3.0707584216665778, 1.6113258098750902, 2.5508980362466143, -0.0, inf, inf, 3.0707584216665778]


[inf, inf, inf, inf, inf, -0.0, inf, 2.5508980362466143]


[3.0707584216665778, 2.5508980362466143, 1.7269388197455344, 2.5508980362466143, inf, inf, -0.0, 1.2070784343255752]


[1.863679987341, inf, inf, 2.2467992051654924, 3.0707584216665778, 2.5508980362466143, 1.2070784343255752, -0.0]


