[-0.0, inf, inf, 4.110479192506476, 3.0707584216665778, 2.383540372760958, inf, inf]


[inf, -0.0, inf, 2.903400758180917, inf, 2.903400758180917, 3.286519976005407, 2.903400758180917]


[inf, inf, -0.0, 2.903400758180917, inf, 4.110479192506476, inf, inf]


[4.110479192506476, 2.903400758180917, 2.903400758180917, -0.0, 4.110479192506476, inf, 2.903400758180917, inf]


[3.0707584216665778, inf, inf, 4.110479192506476, -0.0, inf, inf, inf]


[2.383540372760958, 2.903400758180917, 4.110479192506476, inf, inf, -0.0, inf, 3.286519976005407]


[inf, 3.286519976005407, inf, 2.903400758180917, inf, inf, -0.0, inf]


[inf, 2.903400758180917, inf, inf, inf, 3.286519976005407, inf, -0.0]


