[-0.0, 1.2070784343255752, 1.2070784343255752, 2.0310376508266565, inf, inf, inf, inf]


[1.2070784343255752, -0.0, 2.0310376508266565, inf, 2.0310376508266565, inf, inf, 2.0310376508266565]


[1.2070784343255752, 2.0310376508266565, -0.0, inf, inf, inf, 1.2070784343255752, inf]


[2.0310376508266565, inf, inf, -0.0, inf, inf, 2.0310376508266565, 1.2070784343255752]


[inf, 2.0310376508266565, inf, inf, -0.0, inf, 0.8239592165010822, 2.0310376508266565]


[inf, inf, inf, inf, inf, -0.0, 1.2070784343255752, 2.0310376508266565]


[inf, inf, 1.2070784343255752, 2.0310376508266565, 0.8239592165010822, 1.2070784343255752, -0.0, 2.0310376508266565]


[inf, 2.0310376508266565, inf, 1.2070784343255752, 2.0310376508266565, 2.0310376508266565, 2.0310376508266565, -0.0]


